Date,High,Low,Open,Close,Volume,Adj Close
2003-01-02,42.70000076293945,42.20000076293945,42.70000076293945,42.20000076293945,53500.0,23.83206558227539
2003-01-03,42.709999084472656,42.02000045776367,42.45000076293945,42.599998474121094,37600.0,24.057950973510742
2003-01-06,42.79999923706055,42.529998779296875,42.70000076293945,42.529998779296875,31000.0,24.01841926574707
2003-01-07,42.599998474121094,41.810001373291016,42.599998474121094,42.0,48300.0,23.719104766845703
2003-01-08,42.150001525878906,41.29999923706055,42.099998474121094,41.29999923706055,101800.0,23.323787689208984
2003-01-09,41.599998474121094,41.11000061035156,41.29999923706055,41.4900016784668,55500.0,23.43109130859375
2003-01-10,41.349998474121094,41.0,41.349998474121094,41.099998474121094,151400.0,23.210840225219727
2003-01-13,41.5,41.0,41.25,41.189998626708984,57800.0,23.26166534423828
2003-01-14,41.689998626708984,41.0099983215332,41.400001525878906,41.20000076293945,54500.0,23.267314910888672
2003-01-15,41.400001525878906,40.84000015258789,41.400001525878906,41.0,46800.0,23.154373168945312
2003-01-16,41.08000183105469,40.58000183105469,40.95000076293945,40.81999969482422,134900.0,23.052715301513672
2003-01-17,41.0,40.31999969482422,41.0,40.400001525878906,31600.0,22.81552505493164
2003-01-21,41.060001373291016,40.54999923706055,40.900001525878906,40.75,48800.0,23.013181686401367
2003-01-22,41.150001525878906,40.7400016784668,40.79999923706055,41.130001068115234,39400.0,23.2277889251709
2003-01-23,41.400001525878906,41.0099983215332,41.150001525878906,41.099998474121094,37500.0,23.210840225219727
2003-01-24,41.209999084472656,40.880001068115234,41.099998474121094,41.150001525878906,45400.0,23.239070892333984
2003-01-27,41.04999923706055,40.45000076293945,41.04999923706055,40.52000045776367,113800.0,22.883298873901367
2003-01-28,40.75,40.25,40.529998779296875,40.5,31300.0,22.871997833251953
2003-01-29,40.9900016784668,40.349998474121094,40.45000076293945,40.849998474121094,47200.0,23.069650650024414
2003-01-30,41.15999984741211,40.70000076293945,40.86000061035156,40.70000076293945,56400.0,22.984939575195312
