Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL
2003-01-02,40.77887344360352,8.552894592285156,,3.849999904632568,13.99048900604248,1.7499876022338867,12.75907039642334,7.010000228881836,15.802959442138672,2.5728352069854736,8.087710380554201,11.80483627319336,25.19617462158203,1.8799999952316284,4.893416881561278,10.181639671325684,23.83206558227539,3.625,2.7300000190734863,,25.729995727539066,17.284540176391598,4.3021183013916025,25.03024101257324,,,3.871054410934448,19.56999969482422,,19.039093017578125,,13.715794563293455,24.9528751373291,883.3955688476562,3.321843385696411,,,11.639192581176758,4.591529369354248,40.40488052368164,4.422769546508789,17.681177139282227,5.0625,27.45254135131836,15.13247013092041,1.401341438293457,22.69358062744141,17.236948013305664,0.9198209643363952
2003-01-03,40.62442398071289,8.636180877685549,,3.940000057220459,14.095736503601074,1.6789506673812866,13.107950210571287,6.940000057220459,15.55880641937256,2.7395923137664795,8.090266227722168,11.749327659606935,25.1606388092041,1.8999999761581419,4.986498355865479,10.281316757202148,24.057950973510746,3.634999990463257,2.630000114440918,,26.23275184631348,17.236526489257812,4.362889766693115,25.07639503479004,,,3.818289041519165,20.520000457763672,,19.300277709960934,,13.993224143981935,25.04132080078125,880.759033203125,3.183793306350708,,,11.814903259277346,4.532513618469238,40.29838943481445,4.3711509704589835,17.756277084350586,5.0,27.12752914428711,15.557757377624512,1.3739595413208008,22.61322021484375,17.63599395751953,0.9260361194610596
2003-01-06,40.92042922973633,8.691705703735353,,4.050000190734863,14.35886001586914,1.6710574626922607,13.711016654968262,7.1599998474121085,14.566367149353027,2.7395923137664795,8.19267463684082,12.310579299926758,26.04888343811035,1.8600000143051147,5.130553245544434,10.537637710571287,24.01841926574707,3.650000095367432,2.8499999046325684,,26.573909759521484,16.94845199584961,4.605977535247803,25.379718780517575,,,3.790466785430908,20.700000762939453,,20.124338150024414,,14.84498119354248,25.91913414001465,910.3519287109376,3.356356382369995,,,11.956278800964355,4.609234809875488,41.18316650390625,4.4370455741882315,18.848552703857425,5.042500019073486,26.962860107421875,15.99851131439209,1.3592911958694458,22.55963516235352,17.892841339111328,0.9260361194610596
2003-01-07,40.88181686401367,8.300895690917969,,3.7200000286102295,14.080699920654295,1.654144048690796,14.216136932373047,7.170000076293945,14.64880657196045,2.6760661602020264,8.123549461364746,12.199563026428224,25.965972900390625,1.7400000095367432,5.241364479064941,10.413040161132812,23.719104766845703,3.627500057220459,3.0299999713897705,,26.484132766723636,17.044479370117188,4.411001205444336,24.94452667236328,,,3.9458849430084233,21.549999237060547,,19.43086814880371,,14.587023735046387,25.57209205627441,892.6253051757812,3.321843385696411,,,11.64929485321045,4.562020778656006,41.1585807800293,4.541384220123291,18.937297821044922,5.349999904632568,26.52084350585937,15.72786808013916,1.3460893630981443,21.449832916259766,17.66351318359375,0.9229283928871156
2003-01-08,40.44105529785156,8.510184288024902,,3.609999895095825,13.9829740524292,1.594382882118225,13.528016090393065,6.690000057220459,14.556859016418455,2.660183906555176,8.141472816467285,11.607470512390135,25.18433952331543,1.6599999666213991,5.22141695022583,10.217232704162598,23.323787689208984,3.509999990463257,3.009999990463257,,26.05319595336914,16.996461868286133,4.418599605560303,24.78627586364746,,,3.886403799057007,21.020000457763672,,19.46689224243164,,14.499415397644045,25.38156509399414,881.4912109375,3.261446237564087,,,11.223148345947266,4.564382076263428,40.04441833496094,4.469996929168701,18.438940048217773,5.414999961853027,26.49918365478516,15.789731979370115,1.3323990106582642,21.53785514831543,17.56260871887207,0.9042837023735046
2003-01-09,41.08129501342773,8.537944793701174,,4.550000190734863,13.810064315795898,1.6462510824203491,14.081502914428713,6.9099998474121085,14.762957572937012,2.7713558673858643,8.243879318237305,12.070042610168455,25.942291259765625,1.7799999713897705,5.270174980163574,10.484238624572754,23.43109130859375,3.587500095367432,3.0699999332427983,,26.125019073486328,17.284540176391598,4.4819016456604,25.12255096435547,,,3.9698703289031982,21.450000762939453,,19.034587860107425,,14.601633071899414,25.91913414001465,914.160400390625,3.3649842739105225,,,11.079754829406738,4.634021282196045,40.70798873901367,4.532597541809082,19.353723526000977,5.610000133514403,26.47751045227051,16.338739395141598,1.3416885137557983,21.928197860717773,17.63599395751953,0.912362813949585
2003-01-10,40.73704528808594,8.495234489440918,,4.130000114440918,12.719991683959961,1.6981194019317627,14.285943984985352,7.4099998474121085,14.7153902053833,2.668124198913574,8.141472816467285,12.273576736450195,25.72319412231445,1.7699999809265137,5.212553024291992,10.352519989013672,23.21084022521973,3.5975000858306885,3.220000028610229,,25.88261604309082,18.091154098510746,4.403406143188477,25.15552520751953,,,3.952600717544556,21.31999969482422,,18.908504486083984,,13.83747100830078,25.98036766052246,905.5170288085938,3.520291805267334,,,10.95453643798828,4.651726245880127,41.32243347167969,4.672079563140869,19.756498336791992,5.599999904632568,26.15683174133301,16.408332824707028,1.3397328853607178,21.66031265258789,17.62681770324707,0.9148489832878112
2003-01-13,40.7113037109375,8.532780647277832,,4.170000076293944,13.08084487915039,1.7195430994033811,14.236079216003418,7.449999809265138,14.53783130645752,2.763415098190308,8.141472816467285,12.10088062286377,25.93637084960937,1.7699999809265137,5.296769618988037,10.484238624572754,23.26166534423828,3.602499961853028,3.25,,25.586355209350586,18.26400184631348,4.3856797218322745,25.1357421875,,,3.9698703289031982,22.040000915527344,,18.530248641967773,,13.18527126312256,26.2253475189209,920.3136596679688,3.649713516235352,,,11.132264137268066,4.59743070602417,42.20719528198242,4.65889835357666,18.909992218017575,5.545000076293945,26.27817153930664,16.41606330871582,1.3196853399276731,22.238178253173828,17.539676666259766,0.90925532579422
2003-01-14,41.17459106445313,8.452713966369629,,4.190000057220459,12.780137062072756,1.7150326967239382,14.5153169631958,7.429999828338622,14.220759391784668,2.922231912612915,8.179874420166017,12.279742240905762,25.983739852905273,1.809999942779541,5.3167147636413565,10.3240385055542,23.267314910888672,3.6549999713897705,3.2999999523162837,,25.45169448852539,18.10075569152832,4.3679542541503915,25.333555221557614,,,3.966991424560547,22.739999771118164,,18.32760238647461,,13.092792510986328,26.150495529174805,930.275634765625,4.167402744293213,,,11.029261589050293,4.62103796005249,41.86312103271485,4.644622802734375,19.12162208557129,5.522500038146973,25.823156356811523,16.245948791503903,1.3226195573806765,22.594078063964844,17.631406784057614,0.9080124497413636
2003-01-15,40.8657455444336,8.21250057220459,,4.309999942779541,12.32907009124756,1.7093948125839231,13.946870803833008,7.449999809265138,14.357101440429688,3.0810489654541016,8.205476760864258,11.64447784423828,25.46856117248535,1.7599999904632568,5.301202297210693,9.985836029052734,23.15437316894531,3.587500095367432,3.190000057220459,,24.35641670227051,17.783872604370114,4.342633247375488,24.74011611938477,,,3.9449245929718018,22.270000457763672,,18.620304107666016,,13.287479400634766,25.633338928222656,922.8042602539062,4.314082145690918,,,10.936356544494627,4.595069885253906,41.55181121826172,4.7544522285461435,18.739315032958984,5.462500095367432,25.76249122619629,16.160888671875,1.2937711477279663,23.4819278717041,17.502979278564453,0.8968256115913391
